1.1,综合
1.2.12.1.14,运输仓储邮政、信息传输、计算机服务和软件业
1.2.12.1.15,批发零售贸易、住宿和餐饮业
1.2.12.1.16,房地产业、租赁和商务服务业
1.2.12.1.17,金融业
1.2.12.1.18,其他服务业
1.2.12.2,最终使用部分
1.2.12.2.1,农村居民消费
1.2.12.2.2,城镇居民消费
1.2.12.2.3,居民最终消费
1.2.12.2.4,政府最终消费
1.2.12.2.5,最终消费
1.2.12.2.6,固定资本形成总额
1.2.12.2.7,存货增加
1.2.12.2.8,资本形成总额
1.2.12.2.9,出口
1.2.12.2.10,最终使用
1.2.12.2.11,进口
1.2.12.2.12,其他
1.2.12.2.13,总产出
1.2.13,投入产出直接消耗系数
1.2.13.1,农、林、牧、渔业投入产出直接消耗系数
1.2.13.2,采矿业投入产出直接消耗系数
1.2.13.3,食品、饮料制造及烟草制品业投入产出直接消耗系数
1.2.13.4,纺织、服装及皮革产品制造业投入产出直接消耗系数
1.2.13.5,其他制造业投入产出直接消耗系数
1.2.13.6,电力、热力及水的生产和供应业投入产出直接消耗系数
1.2.13.7,炼焦、燃气及石油加工业投入产出直接消耗系数
1.2.13.8,化学工业投入产出直接消耗系数
1.2.13.9,非金属矿物制品业投入产出直接消耗系数
1.2.13.10,金属产品制造业投入产出直接消耗系数
1.2.13.11,机械设备制造业投入产出直接消耗系数
1.2.13.12,建筑业投入产出直接消耗系数
1.2.13.13,运输仓储邮政、信息传输、计算机服务和软件业投入产出直接消耗系数
1.2.13.14,批发零售贸易、住宿和餐饮业投入产出直接消耗系数
1.2.13.15,房地产业、租赁和商务服务业投入产出直接消耗系数
1.2.13.16,金融业投入产出直接消耗系数
1.2.13.17,其他服务业投入产出直接消耗系数
1.2.14,投入产出完全消耗系数
1.2.14.1,农、林、牧、渔业投入产出完全消耗系数
1.2.14.2,采矿业投入产出完全消耗系数
1.2.14.3,食品、饮料制造及烟草制品业投入产出完全消耗系数
1.2.14.4,纺织、服装及皮革产品制造业投入产出完全消耗系数
1.2.14.5,其他制造业投入产出完全消耗系数
1.2.14.6,电力、热力及水的生产和供应业投入产出完全消耗系数
1.2.14.7,炼焦、燃气及石油加工业投入产出完全消耗系数
1.2.14.8,化学工业投入产出完全消耗系数
1.2.14.9,非金属矿物制品业投入产出完全消耗系数
1.2.14.10,金属产品制造业投入产出完全消耗系数
1.2.14.11,机械设备制造业投入产出完全消耗系数
1.2.14.12,建筑业投入产出完全消耗系数
1.2.14.13,运输仓储邮政、信息传输、计算机服务和软件业投入产出完全消耗系数
1.2.14.14,批发零售贸易、住宿和餐饮业投入产出完全消耗系数
1.2.14.15,房地产业、租赁和商务服务业投入产出完全消耗系数
1.2.14.16,金融业投入产出完全消耗系数
1.2.14.17,其他服务业投入产出完全消耗系数
1.2.15,资金流量表(实物交易)
1.2.15.1,实物交易
1.2.15.1.1,资金运用
1.2.15.1.2,资金来源
1.2.15.2,非金融企业部门
1.2.15.2.1,资金运用
1.2.15.2.2,资金来源
1.2.15.3,金融机构部门
1.2.15.3.1,资金运用
1.2.15.3.2,资金来源
1.2.15.4,政府部门
1.2.15.4.1,资金运用
1.2.15.4.2,资金来源
1.2.15.5,住户部门
1.2.15.5.1,资金运用
1.2.15.5.2,资金来源
1.2.15.6,国内
1.2.15.6.1,资金运用
1.2.15.6.2,资金来源
1.2.15.7,国外部门
1.2.15.7.1,资金运用
1.2.15.7.2,资金来源
1.2.16,资金流量表(金融交易)
1.2.16.1,金融交易
1.2.16.1.1,资金运用
1.2.16.1.2,资金来源
1.2.16.2,非金融企业部门
1.2.16.2.1,资金运用
1.2.16.2.2,资金来源
1.2.16.3,金融机构
1.2.16.3.1,资金运用
1.2.16.3.2,资金来源
1.2.16.4,政府部门
1.2.16.4.1,资金运用
1.2.16.4.2,资金来源
1.2.16.5,住户部门
1.2.16.5.1,资金运用
1.2.16.5.2,资金来源
1.2.16.6,国内
1.2.16.6.1,资金运用
1.2.16.6.2,资金来源
1.2.16.7,国外部门
1.2.16.7.1,资金运用
1.2.16.7.2,资金来源
1.2.17,国际收支平衡表
1.2.17.1,差额(贷-借)
1.2.17.1.1,经常项目差额(贷-借)
1.2.17.1.2,资本和金融项目差额(贷-借)
1.2.17.1.3,储备资产差额(贷-借)
1.2.17.1.4,净误差与遗漏差额(贷-借)
1.2.17.2,贷方
1.2.17.2.1,贷方经常项目
1.2.17.2.2,贷方资本和金融项目
1.2.17.2.3,贷方储备资产
1.2.17.2.4,贷方净误差与遗漏
1.2.17.3,借方
1.2.17.3.1,借方经常项目
1.2.17.3.2,借方资本和金融项目
1.2.17.3.3,借方储备资产
1.2.17.3.4,借方净误差与遗漏
1.3,人口
1.3.1,总人口
1.3.2,人口出生率、死亡率和自然增长率
1.3.3,人口年龄结构和抚养比
1.3.4,人口平均预期寿命
1.3.6,人口普查人口基本情况
1.3.7,人口抽样调查样本数据
1.3.7.1,按年龄分人口数(人口抽样调查)
1.3.7.2,按年龄分男性人口数(人口抽样调查)
1.3.7.3,按年龄分女性人口数(人口抽样调查)
1.3.7.4,按年龄分性别比(人口抽样调查)
1.3.7.5,户数、户人口及户规模(人口抽样调查)
1.3.7.6,按户口登记状况分人口数(人口抽样调查)
1.3.7.7,人口年龄构成和抚养比(人口抽样调查)
1.3.7.8,按婚姻状况分人口数(人口抽样调查)
1.3.7.9,按受教育程度分人口数(人口抽样调查)
1.3.7.10,15岁及以上文盲人口(人口抽样调查)
1.3.7.11,按家庭户规模分的户数(人口抽样调查)
1.3.7.12,按年龄分平均育龄妇女人数(人口抽样调查)
1.3.7.13,按年龄分出生人数(人口抽样调查)
1.3.7.14,按年龄分第一孩次出生人口数(人口抽样调查)
1.3.7.15,按年龄分第二孩次出生人口数(人口抽样调查)
1.3.7.16,按年龄分第三孩次及以上出生人口数(人口抽样调查)
1.3.7.17,按年龄分生育率(人口抽样调查)
1.3.7.18,按年龄分第一孩次生育率(人口抽样调查)
1.3.7.19,按年龄分第二孩次生育率(人口抽样调查)
1.3.7.20,按年龄分第三孩次生育率(人口抽样调查)
1.4,就业人员和工资
1.4.1,经济活动人口
1.4.2,按三次产业分就业人员数
1.4.3,按城乡分就业人员数
1.4.4,按经济类型分城镇就业人员
1.4.5,按经济类型分乡村就业人员
1.4.6,按行业分城镇单位就业人员
1.4.7,按行业分国有单位就业人员
1.4.8,按行业分城镇集体单位就业人员
1.4.9,按行业分其他单位就业人员
1.4.10,按行业分私营企业和个体就业人员
1.4.11,按行业分城镇私营企业和个体就业人员
1.4.12,私营企业就业人员
1.4.13,个体就业人员
1.4.14,城镇单位就业人员工资总额和指数
1.4.15,城镇单位就业人员平均工资和指数
1.4.16,按登记注册类型分城镇单位就业人员平均工资
1.4.17,按行业分城镇单位就业人员工资总额
1.4.18,按行业分城镇单位就业人员平均工资
1.4.19,按行业分国有单位就业人员平均工资
1.4.20,按行业分城镇集体单位就业人员平均工资
1.4.21,按行业分其他单位就业人员平均工资
1.4.22,按行业分城镇私营单位就业人员平均工资
1.4.23,城镇登记失业人员及失业率
1.5,固定资产投资和房地产
1.5.1,全社会固定资产投资
1.5.2,按登记注册类型分全社会固定资产投资
1.5.3,按资金来源分全社会固定资产投资
1.5.4,按构成分全社会固定资产投资
1.5.5,按行业分全社会固定资产投资
1.5.6,全社会住宅投资
1.5.7,全社会房屋施工、竣工面积和价值
1.5.8,固定资产投资(不含农户)资金来源
1.5.9,按隶属关系分固定资产投资(不含农户)
1.5.10,按构成和建设性质分固定资产投资(不含农户)
1.5.11,固定资产投资(不含农户)建设规模
1.5.12,按行业分固定资产投资(不含农户)建设总规模
1.5.13,按行业分固定资产投资(不含农户)在建总规模
1.5.14,按行业分固定资产投资(不含农户)在建净规模
1.5.15,按行业分固定资产投资(不含农户)
1.5.16,按行业分新建固定资产投资(不含农户)
1.5.17,按行业分扩建固定资产投资(不含农户)
1.5.18,按行业分改建和技术改造固定资产投资(不含农户)
1.5.19,按行业分固定资产投资(不含农户)建筑安装工程
1.5.20,按行业分固定资产投资(不含农户)设备工器具购置
1.5.21,按行业分固定资产投资(不含农户)其他费用
1.5.22,按行业分固定资产投资(不含农户)中央项目
1.5.23,按行业分固定资产投资(不含农户)地方项目
1.5.24,按行业分内资企业固定资产投资(不含农户)
1.5.25,按行业分港澳台商投资企业固定资产投资(不含农户)
1.5.26,按行业分外商投资企业固定资产投资(不含农户)
1.5.27,按行业分国有控股固定资产投资(不含农户)
1.5.28,按行业分集体控股固定资产投资(不含农户)
1.5.29,按行业分私人控股固定资产投资(不含农户)
1.5.30,按行业分固定资产投资(不含农户)本年资金来源
1.5.31,按行业分固定资产投资(不含农户)国家预算资金
1.5.32,按行业分固定资产投资(不含农户)国内贷款
1.5.33,按行业分固定资产投资(不含农户)利用外资
1.5.34,按行业分固定资产投资(不含农户)自筹资金
1.5.35,按行业分固定资产投资(不含农户)其他资金
1.5.36,按行业分新增固定资产投资
1.5.37,按行业分固定资产交付使用率
1.5.38,按项目规模分固定资产投资(不含农户)
1.5.39,能源工业固定资产投资(不含农户)
1.5.40,固定资产投资(不含农户)房屋施工、竣工面积和房屋竣工价值
1.5.41,固定资产投资(不含农户)按行业分施工项目
1.5.42,按行业分固定资产投资(不含农户)新开工项目
1.5.43,按行业分固定资产投资(不含农户)全部建成投产项目
1.5.44,按行业分固定资产投资(不含农户)项目建成投产率
1.5.45,主要产品建设规模
1.5.45.1,建设规模
1.5.45.2,施工规模
1.5.45.3,新开工规模
1.5.45.4,累计新增生产能力
1.5.45.5,新增生产能力
1.5.46,农村农户固定资产投资和建房
1.5.47,房地产开发企业个数
1.5.48,房地产开发企业从业人员数
1.5.49,房地产开发企业土地开发及购置
1.5.50,房地产开发企业投资总规模及完成情况
1.5.51,按用途分房地产开发企业完成投资
1.5.52,房地产开发企业资金来源
1.5.53,房地产开发企业房屋建筑面积和造价
1.5.54,按用途分房地产开发企业新开工面积
1.5.55,按用途分商品房销售面积
1.5.56,按用途分商品房销售额
1.5.57,按用途分商品房平均销售价格
1.5.58,房地产开发企业资产负债
1.5.59,房地产开发企业经营情况
1.5.60,按项目规模分房地产开发完成投资
1.5.61,房地产开发企业成套住宅竣工与销售情况
1.6,对外经济贸易
1.6.1,货物进出口总额
1.6.2,出口货物分类金额(按SITC分类)
1.6.3,进口货物分类金额(按SITC分类)
1.6.4,进出口货物分类金额
1.6.4.1,出口货物分类金额
1.6.4.2,进口货物分类金额
1.6.5,同各国(地区)海关货物进出口总额
1.6.5.1,进出口总额
1.6.5.1.1,中国同亚洲各国(地区)进出口总额
1.6.5.1.2,中国同非洲各国(地区)进出口总额
1.6.5.1.3,中国同欧洲各国(地区)进出口总额
1.6.5.1.4,中国同拉丁美洲各国(地区)进出口总额
1.6.5.1.5,中国同北美洲各国(地区)进出口总额
1.6.5.1.6,中国同大洋洲各国(地区)进出口总额
1.6.5.1.7,中国同国别(地区)不详进出口总额
1.6.5.2,出口总额
1.6.5.2.1,中国向亚洲各国(地区)出口总额
1.6.5.2.2,中国向非洲各国(地区)出口总额
1.6.5.2.3,中国向欧洲各国(地区)出口总额
1.6.5.2.4,中国向拉丁美洲各国(地区)出口总额
1.6.5.2.5,中国向北美洲各国(地区)出口总额
1.6.5.2.6,中国向大洋洲各国(地区)出口总额
1.6.5.2.7,中国向国别(地区)不详出口总额
1.6.5.3,进口总额
1.6.5.3.1,中国从亚洲各国(地区)进口总额
1.6.5.3.2,中国从非洲各国(地区)进口总额
1.6.5.3.3,中国从欧洲各国(地区)进口总额
1.6.5.3.4,中国从拉丁美洲各国(地区)进口总额
1.6.5.3.5,中国从北美洲各国(地区)进口总额
1.6.5.3.6,中国从大洋洲各国(地区)进口总额
1.6.5.3.7,中国从国别(地区)不详进口总额
1.6.6,出口主要货物数量和金额
1.6.6.1,主要货物出口数量
1.6.6.2,主要货物出口金额
1.6.7,进口主要货物数量和金额
1.6.7.1,主要货物进口数量
1.6.7.2,主要货物进口金额
1.6.8,外商投资企业货物进出口总额
1.6.9,合同利用外资
1.6.10,实际利用外资
1.6.11,按国别(地区)分实际外商投资额
1.6.11.1,实际利用外商直接投资
1.6.11.1.1,中国实际利用世界外商直接投资金额
1.6.11.1.2,中国实际利用亚洲各国(地区)外商直接投资金额
1.6.11.1.3,中国实际利用非洲各国(地区)外商直接投资金额
1.6.11.1.4,中国实际利用欧洲各国(地区)外商直接投资金额
1.6.11.1.5,中国实际利用拉丁美洲各国(地区)外商直接投资金额
1.6.11.1.6,中国实际利用北美洲各国(地区)外商直接投资金额
1.6.11.1.7,中国实际利用大洋洲各国(地区)外商直接投资金额
1.6.11.2,实际利用外商其他投资
1.6.11.2.1,中国实际利用世界外商其他投资金额
1.6.11.2.2,中国实际利用亚洲各国(地区)外商其他投资金额
1.6.11.2.3,中国实际利用非洲各国(地区)外商其他投资金额
1.6.11.2.4,中国实际利用欧洲各国(地区)外商其他投资金额
1.6.11.2.5,中国实际利用拉丁美洲各国(地区)外商其他投资金额
1.6.11.2.6,中国实际利用北美洲各国(地区)外商其他投资金额
1.6.11.2.7,中国实际利用大洋洲各国(地区)外商其他投资金额
1.6.12,按方式分外商投资额
1.6.12.1,项目
1.6.12.2,实际使用金额
1.6.13,按行业分外商直接投资额
1.6.13.1,合同项目
1.6.13.2,实际使用金额
1.6.14,按行业分外商投资企业年底注册登记情况
1.6.14.1,企业数
1.6.14.2,投资总额
1.6.14.3,注册资本
1.6.14.4,外方注册资本
1.6.15,按主要国别(地区)分对外直接投资
1.6.15.1,对外直接投资净额
1.6.15.2,截至本年对外直接投资存量
1.6.16,按行业分对外直接投资
1.6.16.1,对外直接投资净额
1.6.16.2,截至本年对外直接投资存量
1.6.17,对外经济合作
1.6.18,按国别(地区)分对外经济合作
1.6.18.1,对外承包工程完成营业额
1.6.18.1.1,中国对世界承包工程完成营业额
1.6.18.1.2,中国对亚洲各国(地区)承包工程完成营业额
1.6.18.1.3,中国对非洲各国(地区)承包工程完成营业额
1.6.18.1.4,中国对欧洲各国(地区)承包工程完成营业额
1.6.18.1.5,中国对拉丁美洲各国(地区)承包工程完成营业额
1.6.18.1.6,中国对北美洲各国(地区)承包工程完成营业额
1.6.18.1.7,中国对大洋洲各国(地区)承包工程完成营业额
1.6.18.1.8,中国对其他国家(地区)承包工程完成营业额
1.6.18.2,对外承包工程派出人数
1.6.18.2.1,中国对世界承包工程派出人数
1.6.18.2.2,中国对亚洲各国(地区)承包工程派出人数
1.6.18.2.3,中国对非洲各国(地区)承包工程派出人数
1.6.18.2.4,中国对欧洲各国(地区)承包工程派出人数
1.6.18.2.5,中国对拉丁美洲各国(地区)承包工程派出人数
1.6.18.2.6,中国对北美洲各国(地区)承包工程派出人数
1.6.18.2.7,中国对大洋洲各国(地区)承包工程派出人数
1.6.18.2.8,中国对其他国家(地区)承包工程派出人数
1.6.18.3,对外承包工程年末在外劳务人员
1.6.18.3.1,中国对世界承包工程年末在外劳务人员
1.6.18.3.2,中国对亚洲各国(地区)承包工程年末在外劳务人员
1.6.18.3.3,中国对非洲各国(地区)承包工程年末在外劳务人员
1.6.18.3.4,中国对欧洲各国(地区)承包工程年末在外劳务人员
1.6.18.3.5,中国对拉丁美洲各国(地区)承包工程年末在外劳务人员
1.6.18.3.6,中国对北美洲各国(地区)承包工程年末在外劳务人员
1.6.18.3.7,中国对大洋洲各国(地区)承包工程年末在外劳务人员
1.6.18.3.8,中国对其他国家(地区)承包工程年末在外劳务人员
1.6.18.4,对外劳务合作派出人数
1.6.18.4.1,中国对世界劳务合作派出人数
1.6.18.4.2,中国对亚洲各国(地区)劳务合作派出人数
1.6.18.4.3,中国对非洲各国(地区)劳务合作派出人数
1.6.18.4.4,中国对欧洲各国(地区)劳务合作派出人数
1.6.18.4.5,中国对拉丁美洲各国(地区)劳务合作派出人数
1.6.18.4.6,中国对北美洲各国(地区)劳务合作派出人数
1.6.18.4.7,中国对大洋洲各国(地区)劳务合作派出人数
1.6.18.4.8,中国对其他国家(地区)劳务合作派出人数
1.6.18.5,对外劳务合作年末在外人员
1.6.18.5.1,中国对世界劳务合作年末在外人员
1.6.18.5.2,中国对亚洲各国(地区)劳务合作年末在外人员
1.6.18.5.3,中国对非洲各国(地区)劳务合作年末在外人员
1.6.18.5.4,中国对欧洲各国(地区)劳务合作年末在外人员
1.6.18.5.5,中国对拉丁美洲各国(地区)劳务合作年末在外人员
1.6.18.5.6,中国对北美洲各国(地区)劳务合作年末在外人员
1.6.18.5.7,中国对大洋洲各国(地区)劳务合作年末在外人员
1.6.18.5.8,中国对其他国家(地区)劳务合作年末在外人员
1.6.19,人民币汇率(年平均价)
1.7,能源
1.7.1,能源弹性系数
1.7.2,能源加工转换效率
1.7.3,平均每天能源消费量
1.7.4,生活能源消费量
1.7.5,人均能源生产量和消费量
1.7.6,人均生活能源消费量
1.7.7,主要能源品种进、出口量
1.7.8,主要高耗能产品的进、出口量
1.7.9,国有经济能源工业分行业固定资产投资
1.7.10,能源工业分行业投资
1.7.11,能源生产总量
1.7.12,城市能源产品供应
1.7.13,城市集中供热
1.7.14,能源消费总量
1.7.15,分行业能源消费总量
1.7.16,分行业煤炭消费总量
1.7.17,分行业焦炭消费总量
1.7.18,分行业原油消费总量
1.7.19,分行业汽油消费总量
1.7.20,分行业煤油消费总量
1.7.21,分行业柴油消费总量
1.7.22,分行业燃料油消费总量
1.7.23,分行业天然气消费总量
1.7.24,分行业电力消费总量
1.7.25,综合能源平衡表
1.7.26,石油平衡表
1.7.27,煤炭平衡表
1.7.28,电力平衡表
1.7.29,焦炭平衡表
1.7.30,原油平衡表
1.7.31,燃料油平衡表
1.7.32,汽油平衡表
1.7.33,煤油平衡表
1.7.34,柴油平衡表
1.7.35,液化石油气平衡表
1.7.36,天然气平衡表
1.8,财政
1.8.1,国家财政收支总额及增长速度
1.8.2,中央和地方财政收入及比重
1.8.3,中央和地方财政支出及比重
1.8.4,中央和地方财政主要收入项目
1.8.4.1,国家财政主要收入项目
1.8.4.2,中央财政主要收入项目
1.8.4.3,地方财政主要收入项目
1.8.5,中央和地方财政主要支出项目
1.8.5.1,国家财政主要支出项目
1.8.5.2,中央财政主要支出项目
1.8.5.3,地方财政主要支出项目
1.8.6,各项税收
1.8.7,中央财政债务余额情况
1.8.8,预算外资金分项目收入
1.8.9,预算外资金分项目支出
1.8.10,中央和地方预算外资金收支
1.8.11,外债情况
1.9,价格指数
1.9.1,各种价格指数
1.9.2,各种价格定基指数
1.9.3,居民消费价格分类指数(上年=100)
1.9.3.1,食品类居民消费价格指数(上年=100)
1.9.3.2,烟酒及用品类居民消费价格指数(上年=100)
1.9.3.3,衣着类居民消费价格指数(上年=100)
1.9.3.4,家庭设备用品及维修服务类居民消费价格指数(上年=100)
1.9.3.5,医疗保健和个人用品类居民消费价格指数(上年=100)
1.9.3.6,交通和通信类居民消费价格指数(上年=100)
1.9.3.7,娱乐教育文化用品及服务类居民消费价格指数(上年=100)
1.9.3.8,居住类居民消费价格指数(上年=100)
1.9.4,城市居民消费价格分类指数(上年=100)
1.9.4.1,食品类城市居民消费价格指数(上年=100)
1.9.4.2,烟酒及用品类城市居民消费价格指数(上年=100)
1.9.4.3,衣着类城市居民消费价格指数(上年=100)
1.9.4.4,家庭设备用品及维修服务类城市居民消费价格指数(上年=100)
1.9.4.5,医疗保健和个人用品类城市居民消费价格指数(上年=100)
1.9.4.6,交通和通信类城市居民消费价格指数(上年=100)
1.9.4.7,娱乐教育文化用品及服务类城市居民消费价格指数(上年=100)
1.9.4.8,居住类城市居民消费价格指数(上年=100)
1.9.5,农村居民消费价格分类指数(上年=100)
1.9.5.1,食品类农村居民消费价格指数(上年=100)
1.9.5.2,烟酒及饮料类农村居民消费价格指数(上年=100)
1.9.5.3,衣着类农村居民消费价格指数(上年=100)
1.9.5.4,家庭设备用品及维修服务类农村居民消费价格指数(上年=100)
1.9.5.5,医疗保健和个人用品类农村居民消费价格指数(上年=100)
1.9.5.6,交通和通信类农村居民消费价格指数(上年=100)
1.9.5.7,娱乐教育文化用品及服务类农村居民消费价格指数(上年=100)
1.9.5.8,居住类农村居民消费价格指数(上年=100)
1.9.6,商品零售价格分类指数(上年=100)
1.9.7,城市商品零售价格分类指数(上年=100)
1.9.8,农村商品零售价格指数(上年=100)
1.9.9,农业生产资料价格分类指数(上年=100)
1.9.10,农产品生产价格指数(上年=100)
1.9.11,按工业行业分工业生产者出厂价格指数(上年=100)(-2011)
1.9.12,按工业行业分工业生产者出厂价格指数(上年=100)(2012-)
1.9.49,工业生产者出厂价格分类指数(上年=100)
1.9.50,工业生产者购进价格指数(上年=100)
1.9.51,固定资产投资价格指数(上年=100)
1.10,人民生活
1.10.1,全体及分城乡居民收支基本情况(新口径)
1.10.2,居民人均收入与支出（新口径）
1.10.3,城镇居民人均收入与支出（新口径）
1.10.4,农村居民人均收入与支出（新口径）
1.10.5,城乡居民家庭人均收入及恩格尔系数
1.10.6,城乡居民人民币储蓄存款
1.10.7,城镇居民家庭基本情况
1.10.8,按收入等级分城镇居民家庭基本情况
1.10.8.1,城镇居民平均每人全部年收入
1.10.8.2,城镇居民人均可支配收入
1.10.8.3,城镇居民家庭人均现金消费支出
1.10.9,按收入等级分城镇居民家庭平均每人全年现金消费支出
1.10.9.1,城镇居民家庭平均每人全年现金消费支出
1.10.9.2,城镇最低收入户(10%)居民家庭平均每人全年现金消费支出
1.10.9.3,城镇困难户(5%)居民家庭平均每人全年现金消费支出
1.10.9.4,城镇较低收入户(10%)居民家庭平均每人全年现金消费支出
1.10.9.5,城镇中等偏下收入户(20%)居民家庭平均每人全年现金消费支出
1.10.9.6,城镇中等收入户(20%)居民家庭平均每人全年现金消费支出
1.10.9.7,城镇中等偏上收入户(20%)居民家庭平均每人全年现金消费支出
1.10.9.8,城镇较高收入户(10%)居民家庭人均消费现金支出
1.10.9.9,城镇最高收入户(10%)居民家庭人均消费现金支出
1.10.10,城镇居民家庭平均每人全年购买主要商品数量
1.10.11,城镇居民家庭平均每百户年底耐用消费品拥有量
1.10.12,农村居民家庭基本情况
1.10.13,农村居民按纯收入分组的户数占调查户比重
1.10.14,农村居民家庭平均每人纯收入
1.10.15,按收入五等份分农村居民家庭基本情况
1.10.15.1,农村居民平均每户常住人口
1.10.15.2,农村居民平均每户整半劳动力
1.10.15.3,农村居民平均每个劳动力负担人口(含本人)
1.10.15.4,农村居民家庭平均每人纯收入
1.10.15.5,农村居民家庭平均每人工资性纯收入
1.10.15.6,农村居民家庭平均每人家庭经营纯收入
1.10.15.7,农村居民家庭平均每人财产性纯收入
1.10.15.8,农村居民家庭平均每人转移性纯收入
1.10.16,按收入五等份分农村居民家庭平均每人消费支出
1.10.16.1,农村居民低收入家庭平均每人消费支出
1.10.16.2,农村居民中等偏下收入家庭平均每人消费支出
1.10.16.3,农村居民中等收入家庭平均每人消费支出
1.10.16.4,农村居民中等偏上收入家庭平均每人消费支出
1.10.16.5,农村居民高收入家庭平均每人消费支出
1.10.17,农村居民家庭平均每人消费支出
1.10.18,农村居民家庭平均每人现金消费支出
1.10.19,农村居民家庭平均每人主要食品消费量
1.10.20,农村居民家庭平均每百户年底耐用消费品拥有量
1.10.21,农村居民家庭住房情况
1.10.21.1,新建房屋
1.10.21.2,住房情况
1.11,城市概况
1.11.1,全部地级及以上城市数
1.11.2,城市建设
1.11.3,城市供水
1.11.4,城市燃气
1.11.5,城市集中供热
1.11.6,城市市政设施
1.11.7,城市公共交通
1.11.8,城市绿地和园林
1.11.9,城市市容环境卫生
1.11.10,城市设施水平
1.12,资源和环境
1.12.1,主要矿产基础储量
1.12.2,水资源
1.12.3,供水用水情况
1.12.4,废水中主要污染物排放
1.12.5,废气中主要污染物排放
1.12.7,城市生活垃圾清运和处理情况
1.12.8,森林资源
1.12.9,造林面积
1.12.10,林业重点工程造林面积
1.12.11,草原建设利用
1.12.12,自然保护基本情况
1.12.13,自然灾害
1.12.14,地质灾害及防治
1.12.15,森林火灾
1.12.16,森林病虫鼠害防治
1.12.17,地震灾害
1.12.20,环境污染治理投资
1.12.21,工业污染治理投资
1.13,农业
1.13.1,农村基层组织情况
1.13.2,乡村户数和乡村人口
1.13.3,乡村从业人员
1.13.5,农、林、牧、渔业总产值及指数
1.13.6,主要农业机械年末拥有量
1.13.7,有效灌溉面积、农用化肥施用量、农村水电站及用电量
1.13.8,农村水电建设和发电量
1.13.9,灌溉、水库和除涝、治水情况
1.13.10,农村居民家庭生产性固定资产原值
1.13.11,农村居民家庭平均每百户拥有主要生产性固定资产数量
1.13.12,农村居民家庭土地经营情况
1.13.13,农用柴油和农药使用量
1.13.14,农用塑料薄膜使用量
1.13.15,主要农作物播种面积
1.13.16,主要农作物产品产量
1.13.17,主要农作物单位面积产量
1.13.18,果园面积
1.13.19,瓜果类面积
1.13.20,茶园面积
1.13.21,茶叶、水果产量
1.13.22,瓜果类单位面积产量
1.13.23,主要林产品产量
1.13.24,牲畜饲养
1.13.25,牲畜出栏量
1.13.26,畜产品产量
1.13.27,水产品产量
1.13.28,按人口平均的主要农产品产量
1.13.29,平均每一农业劳动力生产的主要农产品
1.13.30,农村居民家庭平均每人出售主要农产品
1.13.31,农村居民家庭平均每人出售主要畜产品及水产品
1.13.32,受灾和成灾面积
1.13.33,国有农场
1.14,工业
1.14.1,按登记注册类型分规模以上工业企业经济指标
1.14.1.1,企业单位数
1.14.1.2,亏损企业单位数
1.14.1.3,实收资本
1.14.1.4,国家资本金
1.14.1.5,集体资本金
1.14.1.6,法人资本金
1.14.1.7,个人资本金
1.14.1.8,港澳台资本金
1.14.1.9,外商资本金
1.14.1.10,流动资产合计
1.14.1.11,应收账款净额
1.14.1.12,存货
1.14.1.13,产成品
